001  00242 |Loss: 1.695 | Acc: 44.389% 
001  00243 |Loss: 1.691 | Acc: 44.525% 
001  00244 |Loss: 1.688 | Acc: 44.647% 
001  00245 |Loss: 1.683 | Acc: 44.796% 
001  00246 |Loss: 1.679 | Acc: 44.925% 
001  00247 |Loss: 1.676 | Acc: 45.037% 
001  00248 |Loss: 1.673 | Acc: 45.146% 
001  00249 |Loss: 1.669 | Acc: 45.303% 
001  00250 |Loss: 1.664 | Acc: 45.450% 
001  00251 |Loss: 1.660 | Acc: 45.586% 
001  00252 |Loss: 1.656 | Acc: 45.712% 
001  00253 |Loss: 1.652 | Acc: 45.856% 
001  00254 |Loss: 1.648 | Acc: 45.983% 
001  00255 |Loss: 1.645 | Acc: 46.085% 
001  00256 |Loss: 1.641 | Acc: 46.216% 
001  00257 |Loss: 1.637 | Acc: 46.340% 
001  00258 |Loss: 1.634 | Acc: 46.454% 
001  00259 |Loss: 1.630 | Acc: 46.567% 
001  00260 |Loss: 1.626 | Acc: 46.692% 
001  00261 |Loss: 1.623 | Acc: 46.800% 
001  00262 |Loss: 1.619 | Acc: 46.905% 
001  00263 |Loss: 1.616 | Acc: 47.041% 
001  00264 |Loss: 1.612 | Acc: 47.180% 
001  00265 |Loss: 1.608 | Acc: 47.297% 
001  00266 |Loss: 1.604 | Acc: 47.407% 
001  00267 |Loss: 1.601 | Acc: 47.519% 
001  00268 |Loss: 1.597 | Acc: 47.650% 
001  00269 |Loss: 1.593 | Acc: 47.764% 
001  00270 |Loss: 1.590 | Acc: 47.876% 
001  00271 |Loss: 1.587 | Acc: 47.973% 
001  00272 |Loss: 1.583 | Acc: 48.104% 
001  00273 |Loss: 1.580 | Acc: 48.211% 
001  00274 |Loss: 1.576 | Acc: 48.341% 
001  00275 |Loss: 1.572 | Acc: 48.446% 
001  00276 |Loss: 1.569 | Acc: 48.548% 
001  00277 |Loss: 1.566 | Acc: 48.655% 
001  00278 |Loss: 1.563 | Acc: 48.758% 
001  00279 |Loss: 1.560 | Acc: 48.846% 
001  00280 |Loss: 1.557 | Acc: 48.956% 
001  00281 |Loss: 1.554 | Acc: 49.044% 
001  00282 |Loss: 1.551 | Acc: 49.144% 
001  00283 |Loss: 1.548 | Acc: 49.263% 
001  00284 |Loss: 1.544 | Acc: 49.378% 
001  00285 |Loss: 1.541 | Acc: 49.496% 
001  00286 |Loss: 1.538 | Acc: 49.612% 
001  00287 |Loss: 1.535 | Acc: 49.698% 
001  00288 |Loss: 1.532 | Acc: 49.802% 
001  00289 |Loss: 1.529 | Acc: 49.908% 
001  00290 |Loss: 1.526 | Acc: 50.000% 
001  00291 |Loss: 1.523 | Acc: 50.105% 
001  00292 |Loss: 1.520 | Acc: 50.217% 
001  00293 |Loss: 1.517 | Acc: 50.315% 
001  00294 |Loss: 1.514 | Acc: 50.425% 
001  00295 |Loss: 1.511 | Acc: 50.519% 
001  00296 |Loss: 1.508 | Acc: 50.602% 
001  00297 |Loss: 1.506 | Acc: 50.689% 
001  00298 |Loss: 1.502 | Acc: 50.786% 
001  00299 |Loss: 1.500 | Acc: 50.875% 
001  00300 |Loss: 1.497 | Acc: 50.969% 
001  00301 |Loss: 1.494 | Acc: 51.072% 
001  00302 |Loss: 1.491 | Acc: 51.180% 
001  00303 |Loss: 1.488 | Acc: 51.266% 
001  00304 |Loss: 1.485 | Acc: 51.367% 
001  00305 |Loss: 1.483 | Acc: 51.463% 
001  00306 |Loss: 1.480 | Acc: 51.547% 
001  00307 |Loss: 1.477 | Acc: 51.649% 
001  00308 |Loss: 1.474 | Acc: 51.745% 
001  00309 |Loss: 1.471 | Acc: 51.851% 
001  00310 |Loss: 1.469 | Acc: 51.920% 
001  00311 |Loss: 1.466 | Acc: 52.027% 
001  00312 |Loss: 1.464 | Acc: 52.106% 
001  00313 |Loss: 1.461 | Acc: 52.206% 
001  00314 |Loss: 1.458 | Acc: 52.299% 
001  00315 |Loss: 1.456 | Acc: 52.396% 
001  00316 |Loss: 1.453 | Acc: 52.470% 
001  00317 |Loss: 1.450 | Acc: 52.583% 
001  00318 |Loss: 1.448 | Acc: 52.656% 
001  00319 |Loss: 1.445 | Acc: 52.753% 
001  00320 |Loss: 1.442 | Acc: 52.849% 
001  00321 |Loss: 1.439 | Acc: 52.950% 
001  00322 |Loss: 1.437 | Acc: 53.028% 
001  00323 |Loss: 1.434 | Acc: 53.113% 
001  00324 |Loss: 1.432 | Acc: 53.190% 
001  00325 |Loss: 1.429 | Acc: 53.293% 
001  00326 |Loss: 1.427 | Acc: 53.367% 
001  00327 |Loss: 1.424 | Acc: 53.462% 
001  00328 |Loss: 1.422 | Acc: 53.530% 
001  00329 |Loss: 1.419 | Acc: 53.612% 
001  00330 |Loss: 1.417 | Acc: 53.710% 
001  00331 |Loss: 1.415 | Acc: 53.786% 
001  00332 |Loss: 1.412 | Acc: 53.878% 
001  00333 |Loss: 1.410 | Acc: 53.963% 
001  00334 |Loss: 1.408 | Acc: 54.026% 
001  00335 |Loss: 1.405 | Acc: 54.109% 
001  00336 |Loss: 1.403 | Acc: 54.192% 
001  00337 |Loss: 1.400 | Acc: 54.273% 
001  00338 |Loss: 1.398 | Acc: 54.362% 
001  00339 |Loss: 1.395 | Acc: 54.455% 
001  00340 |Loss: 1.393 | Acc: 54.534% 
001  00341 |Loss: 1.390 | Acc: 54.628% 
001  00342 |Loss: 1.387 | Acc: 54.719% 
001  00343 |Loss: 1.385 | Acc: 54.779% 
001  00344 |Loss: 1.383 | Acc: 54.865% 
001  00345 |Loss: 1.380 | Acc: 54.948% 
001  00346 |Loss: 1.378 | Acc: 55.022% 
001  00347 |Loss: 1.375 | Acc: 55.109% 
001  00348 |Loss: 1.373 | Acc: 55.186% 
001  00349 |Loss: 1.371 | Acc: 55.270% 
001  00350 |Loss: 1.368 | Acc: 55.342% 
001  00351 |Loss: 1.366 | Acc: 55.426% 
001  00352 |Loss: 1.364 | Acc: 55.511% 
001  00353 |Loss: 1.361 | Acc: 55.584% 
001  00354 |Loss: 1.359 | Acc: 55.654% 
001  00355 |Loss: 1.357 | Acc: 55.724% 
001  00356 |Loss: 1.355 | Acc: 55.815% 
001  00357 |Loss: 1.353 | Acc: 55.889% 
001  00358 |Loss: 1.351 | Acc: 55.964% 
001  00359 |Loss: 1.348 | Acc: 56.043% 
001  00360 |Loss: 1.346 | Acc: 56.105% 
001  00361 |Loss: 1.344 | Acc: 56.174% 
001  00362 |Loss: 1.342 | Acc: 56.254% 
001  00363 |Loss: 1.340 | Acc: 56.323% 
